rank,token,length,is_special
122,pe,2,False
123,pi,2,False
124,po,2,False
125,pp,2,False
126,pr,2,False
127,pu,2,False
128,qu,2,False
129,ra,2,False
130,re,2,False
131,ri,2,False
132,ro,2,False
133,ru,2,False
134,sa,2,False
135,sc,2,False
136,se,2,False
137,sh,2,False
138,si,2,False
139,sk,2,False
140,so,2,False
141,sp,2,False
142,ss,2,False
143,st,2,False
144,su,2,False
145,sw,2,False
146,ta,2,False
147,te,2,False
148,th,2,False
149,ti,2,False
150,to,2,False
151,tt,2,False
152,tu,2,False
153,tw,2,False
154,ty,2,False
155,un,2,False
156,up,2,False
157,ur,2,False
158,vi,2,False
159,vo,2,False
160,wa,2,False
161,we,2,False
162,wh,2,False
163,wi,2,False
164,wo,2,False
165,wr,2,False
166,aga,3,False
167,ang,3,False
168,ani,3,False
169,ant,3,False
170,app,3,False
171,arb,3,False
172,ath,3,False
173,bal,3,False
174,ban,3,False
175,bea,3,False
176,beg,3,False
177,ben,3,False
178,ber,3,False
179,bes,3,False
180,bet,3,False
181,blo,3,False
182,bon,3,False
183,bor,3,False
184,bra,3,False
185,bri,3,False
186,bro,3,False
187,bru,3,False
188,can,3,False
189,car,3,False
190,cei,3,False
191,cer,3,False
192,cha,3,False
193,chi,3,False
194,cho,3,False
195,cle,3,False
196,clo,3,False
197,col,3,False
198,com,3,False
199,con,3,False
200,cor,3,False
201,cou,3,False
202,cro,3,False
203,cur,3,False
204,dan,3,False
205,dar,3,False
206,dau,3,False
207,dea,3,False
208,den,3,False
209,der,3,False
210,des,3,False
211,dis,3,False
212,dom,3,False
213,dou,3,False
214,dra,3,False
215,dro,3,False
216,ear,3,False
217,emi,3,False
218,eng,3,False
219,ent,3,False
220,enz,3,False
221,ere,3,False
222,exe,3,False
223,fai,3,False
224,far,3,False
225,fel,3,False
226,fir,3,False
227,fol,3,False
228,foo,3,False
229,for,3,False
230,fri,3,False
231,fur,3,False
232,gen,3,False
233,ger,3,False
234,gra,3,False
235,gre,3,False
236,gri,3,False
237,gro,3,False
238,gui,3,False
239,ham,3,False
240,han,3,False
241,har,3,False
242,hea,3,False
243,hel,3,False
244,her,3,False
245,hon,3,False
246,hor,3,False
247,hou,3,False
248,hus,3,False
249,ing,3,False
250,iti,3,False
251,jes,3,False
252,kee,3,False
253,kno,3,False
254,lau,3,False
255,lea,3,False
256,len,3,False
257,lex,3,False
258,lie,3,False
259,loo,3,False
260,lor,3,False
261,low,3,False
262,mac,3,False
263,mad,3,False
264,mal,3,False
265,man,3,False
266,mar,3,False
267,men,3,False
268,mer,3,False
269,mes,3,False
270,min,3,False
271,mon,3,False
272,mor,3,False
273,mur,3,False
274,nat,3,False
275,ner,3,False
276,off,3,False
277,oth,3,False
278,oun,3,False
279,our,3,False
280,par,3,False
281,pea,3,False
282,per,3,False
283,pla,3,False
284,pol,3,False
285,pom,3,False
286,por,3,False
287,pra,3,False
288,pre,3,False
289,pri,3,False
290,pro,3,False
291,pur,3,False
292,qui,3,False
293,ran,3,False
294,rea,3,False
295,res,3,False
296,rom,3,False
297,rou,3,False
298,sal,3,False
299,san,3,False
300,sea,3,False
301,see,3,False
302,sel,3,False
303,sen,3,False
304,ser,3,False
305,sha,3,False
306,shi,3,False
307,sho,3,False
308,sin,3,False
309,sle,3,False
310,sol,3,False
311,som,3,False
312,sor,3,False
313,spi,3,False
314,spo,3,False
315,ssi,3,False
316,sta,3,False
317,sti,3,False
318,sto,3,False
319,str,3,False
320,swe,3,False
321,ten,3,False
322,ter,3,False
323,the,3,False
324,tin,3,False
325,ton,3,False
326,tor,3,False
327,tra,3,False
328,tri,3,False
329,tru,3,False
330,tun,3,False
331,tur,3,False
332,ven,3,False
333,ver,3,False
334,vir,3,False
335,war,3,False
336,wat,3,False
337,wea,3,False
338,wel,3,False
339,wha,3,False
340,whi,3,False
341,wom,3,False
342,wor,3,False
343,you,3,False
344,</w>,4,True
345,answ,4,False
346,brea,4,False
347,caes,4,False
348,capu,4,False
349,char,4,False
350,citi,4,False
351,clau,4,False
352,comm,4,False
353,comp,4,False
354,conf,4,False
355,coun,4,False
356,cour,4,False
357,deme,4,False
358,deri,4,False
359,devi,4,False
360,drea,4,False
361,gent,4,False
362,grea,4,False
363,hear,4,False
364,juli,4,False
365,laur,4,False
366,ophe,4,False
367,plea,4,False
368,pres,4,False
369,reme,4,False
370,rome,4,False
371,scen,4,False
372,serv,4,False
373,some,4,False
374,spea,4,False
375,spir,4,False
376,star,4,False
377,ster,4,False
378,stra,4,False
379,stre,4,False
380,stru,4,False
381,temp,4,False
382,than,4,False
383,thes,4,False
384,thou,4,False
385,with,4,False
386,youn,4,False
387,your,4,False
388,a</w>,5,False
389,anton,5,False
390,atten,5,False
391,b</w>,5,False
392,banqu,5,False
393,c</w>,5,False
394,citiz,5,False
395,d</w>,5,False
396,demon,5,False
397,e</w>,5,False
398,f</w>,5,False
399,g</w>,5,False
400,grati,5,False
401,h</w>,5,False
402,i</w>,5,False
403,k</w>,5,False
404,l</w>,5,False
405,m</w>,5,False
406,n</w>,5,False
407,o</w>,5,False
408,p</w>,5,False
409,pompe,5,False
410,porti,5,False
411,r</w>,5,False
412,s</w>,5,False
413,soldi,5,False
414,t</w>,5,False
415,tybal,5,False
416,w</w>,5,False
417,x</w>,5,False
418,y</w>,5,False
419,z</w>,5,False
420,al</w>,6,False
421,am</w>,6,False
422,an</w>,6,False
423,ar</w>,6,False
424,as</w>,6,False
425,at</w>,6,False
426,ay</w>,6,False
427,be</w>,6,False
428,by</w>,6,False
429,ca</w>,6,False
430,ce</w>,6,False
431,ch</w>,6,False
432,ck</w>,6,False
433,ct</w>,6,False
434,cy</w>,6,False
435,de</w>,6,False
436,do</w>,6,False
437,ds</w>,6,False
438,dy</w>,6,False
439,ed</w>,6,False
440,ef</w>,6,False
441,el</w>,6,False
442,en</w>,6,False
443,ep</w>,6,False
444,er</w>,6,False
445,es</w>,6,False
446,et</w>,6,False
447,fe</w>,6,False
448,ff</w>,6,False
449,fortun,6,False
450,ft</w>,6,False
451,ge</w>,6,False
452,gentle,6,False
453,gh</w>,6,False
454,go</w>,6,False
455,he</w>,6,False
456,ho</w>,6,False
457,id</w>,6,False
458,if</w>,6,False
459,ii</w>,6,False
460,il</w>,6,False
461,in</w>,6,False
462,io</w>,6,False
463,ir</w>,6,False
464,is</w>,6,False
465,it</w>,6,False
466,ke</w>,6,False
467,ks</w>,6,False
468,ld</w>,6,False
469,le</w>,6,False
470,ll</w>,6,False
471,ls</w>,6,False
472,lt</w>,6,False
473,ly</w>,6,False
474,me</w>,6,False
475,messen,6,False
476,ms</w>,6,False
477,my</w>,6,False
478,ne</w>,6,False
479,no</w>,6,False
480,octavi,6,False
481,od</w>,6,False
482,of</w>,6,False
483,ok</w>,6,False
484,om</w>,6,False
485,on</w>,6,False
486,or</w>,6,False
487,pe</w>,6,False
488,ps</w>,6,False
489,pt</w>,6,False
490,re</w>,6,False
491,ry</w>,6,False
492,se</w>,6,False
493,sh</w>,6,False
494,so</w>,6,False
495,ss</w>,6,False
496,st</w>,6,False
497,sy</w>,6,False
498,te</w>,6,False
499,th</w>,6,False
500,to</w>,6,False
501,ts</w>,6,False
502,ty</w>,6,False
503,up</w>,6,False
504,us</w>,6,False
505,ve</w>,6,False
506,we</w>,6,False
507,wn</w>,6,False
508,ws</w>,6,False
509,ys</w>,6,False
510,act</w>,7,False
511,age</w>,7,False
512,ago</w>,7,False
513,all</w>,7,False
514,and</w>,7,False
515,ano</w>,7,False
516,ans</w>,7,False
517,ant</w>,7,False
518,any</w>,7,False
519,ard</w>,7,False
520,are</w>,7,False
521,art</w>,7,False
522,ate</w>,7,False
523,bed</w>,7,False
524,bid</w>,7,False
525,ble</w>,7,False
526,but</w>,7,False
527,can</w>,7,False
528,ced</w>,7,False
529,ces</w>,7,False
530,day</w>,7,False
531,ded</w>,7,False
532,der</w>,7,False
533,des</w>,7,False
534,dge</w>,7,False
535,did</w>,7,False
536,die</w>,7,False
537,dly</w>,7,False
538,ear</w>,7,False
539,een</w>,7,False
540,ely</w>,7,False
541,ena</w>,7,False
542,end</w>,7,False
543,enobarb,7,False
544,ent</w>,7,False
545,ere</w>,7,False
546,ers</w>,7,False
547,ess</w>,7,False
548,est</w>,7,False
549,eye</w>,7,False
550,fly</w>,7,False
551,for</w>,7,False
552,ful</w>,7,False
553,ger</w>,7,False
554,get</w>,7,False
555,ght</w>,7,False
556,god</w>,7,False
557,gue</w>,7,False
558,had</w>,7,False
559,her</w>,7,False
560,him</w>,7,False
561,his</w>,7,False
562,how</w>,7,False
563,ice</w>,7,False
564,ill</w>,7,False
565,ind</w>,7,False
566,ine</w>,7,False
567,ing</w>,7,False
568,ink</w>,7,False
569,ins</w>,7,False
570,int</w>,7,False
571,ird</w>,7,False
572,ire</w>,7,False
573,ise</w>,7,False
574,ish</w>,7,False
575,ius</w>,7,False
576,jew</w>,7,False
577,kes</w>,7,False
578,lay</w>,7,False
579,led</w>,7,False
580,les</w>,7,False
581,let</w>,7,False
582,lia</w>,7,False
583,lie</w>,7,False
584,llo</w>,7,False
585,lls</w>,7,False
586,lot</w>,7,False
587,low</w>,7,False
588,man</w>,7,False
589,may</w>,7,False
590,men</w>,7,False
591,mes</w>,7,False
592,mia</w>,7,False
593,nay</w>,7,False
594,ned</w>,7,False
595,new</w>,7,False
596,nor</w>,7,False
597,not</w>,7,False
598,now</w>,7,False
599,off</w>,7,False
600,old</w>,7,False
601,one</w>,7,False
602,ong</w>,7,False
603,ons</w>,7,False
604,ord</w>,7,False
605,ors</w>,7,False
606,ose</w>,7,False
607,oul</w>,7,False
608,our</w>,7,False
609,ous</w>,7,False
610,out</w>,7,False
611,own</w>,7,False
612,put</w>,7,False
613,ree</w>,7,False
614,row</w>,7,False
615,say</w>,7,False
616,sed</w>,7,False
617,see</w>,7,False
618,ses</w>,7,False
619,set</w>,7,False
620,she</w>,7,False
621,sir</w>,7,False
622,son</w>,7,False
623,ste</w>,7,False
624,tch</w>,7,False
625,ted</w>,7,False
626,ten</w>,7,False
627,ter</w>,7,False
628,tes</w>,7,False
629,the</w>,7,False
630,thy</w>,7,False
631,tio</w>,7,False
632,tis</w>,7,False
633,tly</w>,7,False
634,too</w>,7,False
635,tor</w>,7,False
636,tus</w>,7,False
637,two</w>,7,False
638,unt</w>,7,False
639,ure</w>,7,False
640,use</w>,7,False
641,ved</w>,7,False
642,ven</w>,7,False
643,ver</w>,7,False
644,ves</w>,7,False
645,was</w>,7,False
646,way</w>,7,False
647,wer</w>,7,False
648,who</w>,7,False
649,why</w>,7,False
650,yer</w>,7,False
651,yet</w>,7,False
652,you</w>,7,False
653,ance</w>,8,False
654,ange</w>,8,False
655,anio</w>,8,False
656,away</w>,8,False
657,back</w>,8,False
658,band</w>,8,False
659,bear</w>,8,False
660,been</w>,8,False
661,best</w>,8,False
662,both</w>,8,False
663,call</w>,8,False
664,came</w>,8,False
665,come</w>,8,False
666,dead</w>,8,False
667,dear</w>,8,False
668,deed</w>,8,False
669,dies</w>,8,False
670,ding</w>,8,False
671,dius</w>,8,False
672,does</w>,8,False
673,done</w>,8,False
674,dost</w>,8,False
675,doth</w>,8,False
676,down</w>,8,False
677,draw</w>,8,False
678,duff</w>,8,False
679,duke</w>,8,False
680,each</w>,8,False
681,ears</w>,8,False
682,eech</w>,8,False
683,else</w>,8,False
684,ence</w>,8,False
685,ends</w>,8,False
686,even</w>,8,False
687,ever</w>,8,False
688,exit</w>,8,False
689,eyes</w>,8,False
690,face</w>,8,False
691,fair</w>,8,False
692,fall</w>,8,False
693,fear</w>,8,False
694,find</w>,8,False
695,fore</w>,8,False
696,from</w>,8,False
697,full</w>,8,False
698,ghts</w>,8,False
699,give</w>,8,False
700,gone</w>,8,False
701,good</w>,8,False
702,hand</w>,8,False
703,hast</w>,8,False
704,hath</w>,8,False
705,have</w>,8,False
706,head</w>,8,False
707,hear</w>,8,False
708,help</w>,8,False
709,here</w>,8,False
710,hold</w>,8,False
711,hour</w>,8,False
712,iago</w>,8,False
713,ight</w>,8,False
714,ince</w>,8,False
715,ings</w>,8,False
716,inst</w>,8,False
717,into</w>,8,False
718,keep</w>,8,False
719,kill</w>,8,False
720,king</w>,8,False
721,know</w>,8,False
722,lack</w>,8,False
723,lady</w>,8,False
724,lain</w>,8,False
725,land</w>,8,False
726,last</w>,8,False
727,less</w>,8,False
728,lies</w>,8,False
729,life</w>,8,False
730,like</w>,8,False
731,ling</w>,8,False
732,lius</w>,8,False
733,live</w>,8,False
734,llus</w>,8,False
735,lock</w>,8,False
736,long</w>,8,False
737,look</w>,8,False
738,lord</w>,8,False
739,love</w>,8,False
740,made</w>,8,False
741,make</w>,8,False
742,many</w>,8,False
743,mark</w>,8,False
744,mber</w>,8,False
745,meet</w>,8,False
746,ment</w>,8,False
747,mind</w>,8,False
748,mine</w>,8,False
749,more</w>,8,False
750,most</w>,8,False
751,much</w>,8,False
752,must</w>,8,False
753,name</w>,8,False
754,ness</w>,8,False
755,news</w>,8,False
756,ning</w>,8,False
757,none</w>,8,False
758,once</w>,8,False
759,ough</w>,8,False
760,ould</w>,8,False
761,ound</w>,8,False
762,ours</w>,8,False
763,part</w>,8,False
764,play</w>,8,False
765,poor</w>,8,False
766,pray</w>,8,False
767,rest</w>,8,False
768,ried</w>,8,False
769,ring</w>,8,False
770,rome</w>,8,False
771,said</w>,8,False
772,same</w>,8,False
773,seen</w>,8,False
774,self</w>,8,False
775,sent</w>,8,False
776,show</w>,8,False
777,side</w>,8,False
778,sing</w>,8,False
779,sion</w>,8,False
780,some</w>,8,False
781,soul</w>,8,False
782,stay</w>,8,False
783,ster</w>,8,False
784,such</w>,8,False
785,sure</w>,8,False
786,tain</w>,8,False
787,take</w>,8,False
788,tell</w>,8,False
789,than</w>,8,False
790,that</w>,8,False
791,thee</w>,8,False
792,them</w>,8,False
793,then</w>,8,False
794,ther</w>,8,False
795,they</w>,8,False
796,this</w>,8,False
797,thou</w>,8,False
798,thus</w>,8,False
799,till</w>,8,False
800,time</w>,8,False
801,ting</w>,8,False
802,tion</w>,8,False
803,true</w>,8,False
804,tter</w>,8,False
805,ttle</w>,8,False
806,turn</w>,8,False
807,upon</w>,8,False
808,urse</w>,8,False
809,very</w>,8,False
810,ving</w>,8,False
811,ward</w>,8,False
812,well</w>,8,False
813,were</w>,8,False
814,what</w>,8,False
815,when</w>,8,False
816,wife</w>,8,False
817,will</w>,8,False
818,with</w>,8,False
819,word</w>,8,False
820,ying</w>,8,False
821,your</w>,8,False
822,about</w>,9,False
823,after</w>,9,False
824,again</w>,9,False
825,aside</w>,9,False
826,being</w>,9,False
827,blood</w>,9,False
828,bring</w>,9,False
829,cause</w>,9,False
830,cious</w>,9,False
831,clown</w>,9,False
832,comes</w>,9,False
833,could</w>,9,False
834,ction</w>,9,False
835,death</w>,9,False
836,earth</w>,9,False
837,enter</w>,9,False
838,every</w>,9,False
839,faith</w>,9,False
840,first</w>,9,False
841,forth</w>,9,False
842,friar</w>,9,False
843,ghter</w>,9,False
844,grace</w>,9,False
845,great</w>,9,False
846,hands</w>,9,False
847,heard</w>,9,False
848,heart</w>,9,False
849,hence</w>,9,False
850,house</w>,9,False
851,ither</w>,9,False
852,leave</w>,9,False
853,light</w>,9,False
854,madam</w>,9,False
855,makes</w>,9,False
856,marry</w>,9,False
857,might</w>,9,False
858,never</w>,9,False
859,night</w>,9,False
860,noble</w>,9,False
861,nurse</w>,9,False
862,onius</w>,9,False
863,other</w>,9,False
864,peace</w>,9,False
865,place</w>,9,False
866,power</w>,9,False
867,queen</w>,9,False
868,romeo</w>,9,False
869,rough</w>,9,False
870,scene</w>,9,False
871,shall</w>,9,False
872,sleep</w>,9,False
873,speak</w>,9,False
874,stand</w>,9,False
875,state</w>,9,False
876,still</w>,9,False
877,sweet</w>,9,False
878,sword</w>,9,False
879,their</w>,9,False
880,there</w>,9,False
881,these</w>,9,False
882,thine</w>,9,False
883,thing</w>,9,False
884,think</w>,9,False
885,those</w>,9,False
886,three</w>,9,False
887,times</w>,9,False
888,trude</w>,9,False
889,where</w>,9,False
890,which</w>,9,False
891,while</w>,9,False
892,whose</w>,9,False
893,woman</w>,9,False
894,words</w>,9,False
895,world</w>,9,False
896,would</w>,9,False
897,young</w>,9,False
898,yself</w>,9,False
899,answer</w>,10,False
900,antony</w>,10,False
901,banquo</w>,10,False
902,before</w>,10,False
903,better</w>,10,False
904,bottom</w>,10,False
905,brutus</w>,10,False
906,caesar</w>,10,False
907,cannot</w>,10,False
908,cassio</w>,10,False
909,emilia</w>,10,False
910,enough</w>,10,False
911,exeunt</w>,10,False
912,father</w>,10,False
913,follow</w>,10,False
914,friend</w>,10,False
915,gentle</w>,10,False
916,hamlet</w>,10,False
917,heaven</w>,10,False
918,helena</w>,10,False
919,hermia</w>,10,False
920,honest</w>,10,False
921,honour</w>,10,False
922,indeed</w>,10,False
923,juliet</w>,10,False
924,little</w>,10,False
925,master</w>,10,False
926,matter</w>,10,False
927,mother</w>,10,False
928,myself</w>,10,False
929,nature</w>,10,False
930,pompey</w>,10,False
931,portia</w>,10,False
932,prince</w>,10,False
933,reason</w>,10,False
934,second</w>,10,False
935,selves</w>,10,False
936,should</w>,10,False
937,spirit</w>,10,False
938,things</w>,10,False
939,though</w>,10,False
940,tongue</w>,10,False
941,tybalt</w>,10,False
942,venice</w>,10,False
943,within</w>,10,False
944,against</w>,11,False
945,another</w>,11,False
946,antonio</w>,11,False
947,capulet</w>,11,False
948,cassius</w>,11,False
949,citizen</w>,11,False
950,erefore</w>,11,False
951,fortune</w>,11,False
952,friends</w>,11,False
953,himself</w>,11,False
954,horatio</w>,11,False
955,laertes</w>,11,False
956,lepidus</w>,11,False
957,lorenzo</w>,11,False
958,macbeth</w>,11,False
959,macduff</w>,11,False
960,nothing</w>,11,False
961,ophelia</w>,11,False
962,othello</w>,11,False
963,servant</w>,11,False
964,shylock</w>,11,False
965,thought</w>,11,False
966,welcome</w>,11,False
967,without</w>,11,False
968,bassanio</w>,12,False
969,benvolio</w>,12,False
970,charmian</w>,12,False
971,claudius</w>,12,False
972,daughter</w>,12,False
973,domitius</w>,12,False
974,farewell</w>,12,False
975,gertrude</w>,12,False
976,gratiano</w>,12,False
977,laurence</w>,12,False
978,lysander</w>,12,False
979,mercutio</w>,12,False
980,octavius</w>,12,False
981,polonius</w>,12,False
982,roderigo</w>,12,False
983,cleopatra</w>,13,False
984,demetrius</w>,13,False
985,desdemona</w>,13,False
986,enobarbus</w>,13,False
987,launcelot</w>,13,False
988,messenger</w>,13,False
989,therefore</w>,13,False
990,rosencrantz</w>,15,False
